title,meal,location,season,speciality,url,text,pubdate,author,veg,vegan,GF
Heat 2 tablespoons oil in large nonstick skillet over medium-high heat. Add onion and ginger; saut_ 1 minute. Add kale, sweet potato, and lime juice. Cover, reduce heat to low, and cook until potato is tender and kale is wilted, about 12 minutes.

Meanwhile, heat remaining 2 tablespoons oil in another large nonstick skillet over medium heat. Add tofu; cover and cook until heated through and crisp, about 2 minutes per side (some mustard seeds may fall off tofu).

Arrange kale and sweet potato mixture on plate. Overlap tofu slices atop vegetables and serve.",,http://www.epicurious.com/recipes/food/views/mustard-crusted-tofu-with-kale-and-sweet-potato-239827,yes,yes,yes

Nettle Aloo,Supper,Wisconsin,spring,No,,"As an accompaniment to Indian food, aloo saag (potatoes and spinach) is a firm favourite. Here the spinach is replaced with blanched and chopped nettles which gives a wonderfully fresh, almost grassy flavour. It works.

A large white onion, finely chopped
3 cloves of garlic, finely chopped
Teaspoon of mustard seeds
Two teaspoons black onion seeds
Two teaspoons methi (fenugreek seeds)
Salt and pepper
2-3 potatoes, depending on size, peeled and diced into c.2cm cubes
Nettles, lots.

Blanch the nettles in boiling water then drain in a colander. Finely chop them and set them to one side.

Boil the potatoes in salted water until just shy of being cooked. About 10 minutes should do it

Fry the spices in oil, lower the heat then add the onion and cook until it softens. Add the garlic then the potatoes. Cook until they begin to colour and are soft throughout then add the chopped nettles. Let down with a little water if necessary, season and serve with whichever curries you desire.",,http://justcookit.blogspot.com/2010/04/two-more-ways-with-nettles.html,yes,yes,yes

Harira,Supper,Wisconsin,spring,No,,"From: Cooking the North African Way, Mary Winget and Habib Chalbi, 2004, p. 66

4 tbsp olive oil
2 cloves garlic, pressed
2 medium onions, finely chopped
8 oz canned, cooked chickpeas, drained
15 oz canned fava beans
3-4 cups water
_ tsp turmeric
_ tsp ground ginger
_ tsp coriander seeds
_ tsp cinnamon
Salt and pepper to taste
1 lb ripe tomatoes (about 2), quartered
_ cup lentils, washed
2 tbsp, finely chopped parsley
_ cup white rice, washed
2 eggs, beaten
Juice of 1 lemon

Harira is Morrocan soup eaten year-round but traditionally enjoyed after sunset during Ramadan. A meat version can be made by omitting the fava beans, adding 1 lb lamb cut into cubs and 1 small chicken cut into 8 pieces and doubling the water.

Heat olive oil in a large, heavy frying pan.Brown the garlic and onions. Add chickpeas and water to kettle. Stir in turmeric, ginger, coriander seeds, cinnamon, salt and pepper, tomatoes, and lentils. 

Bring to a boil, cover, reduce heat, and simmer for 40 minutes. Add parsley and rice and cook for 20 minutes.

Whisk beaten eggs into soup and cook until eggs form strands. Stir in lemon juice.",,Cooking the North African Way,Yes,No,Yes

Aloo Shalgam,Supper,Wisconsin,spring,No,,"2 large Yukon Gold potatoes, cut into 1/2 inch cubes
3 medium to large turnips, cut into 1/2 inch cubes
1/2 cup frozen green peas
1 onion, chopped into slivers
2 tbsp peanut oil (or any vegetable oil)
2-3 thai green chilis (or serrano), chopped into 1/4 inch pieces
1 inch piece ginger, grated or finely minced
1 tsp cumin seeds
1 1/2 tsp turmeric
1/2 tsp garam masala
1/2 tsp red chili powder (optional)
1 tbsp kosher salt (plus more to taste)
1/2 tsp sugar
1 tomato, chopped
1 tbsp tomato paste
1/2 to 3/4 cup water
1/4 cup chopped cilantro (including stems)

1. Heat oil in a pan. Add cumin seeds and let them brown. Add the onions and green chilis. Saute till golden brown. Saute a few minutes. Now add the turmeric, garam masala, chili powder, and salt. Add the tomatoes and ginger and cook till the tomatoes cook a bit and turn pulpy.

2. Now add the potatoes, turnips, and green peas. Stir well. Now add the water, tomato paste, and sugar. Bring to a boil. Add the cilantro, cover and cook 15-20 minutes till the turnips and potatoes are cooked.

3. Uncover, and cook a few minutes on med-high to let any excess water evaporate (if needed). Check seasonings. Add more salt to taste. Garnish with fresh cilantro, and serve.",,http://thefoodweeat.typepad.com/the_food_we_eat/2008/10/turnip-and-potato-curry-aloo-shalgam.html,yes,yes,yes

Spinach Casserole,Supper,Wisconsin,spring,No,,"From: Cooking Down East: Favorite Maine Recipes, Marjorie Standish (with Melissa Clark), 1968 (2010), p. 108.

1 package frozen chopped spinach or 1 lb fresh spinach
1 cup hot cooked rice
1 tsp grated onion
1 cup grated or _ cup Cheez Whiz (!!!!!)
2 tbsp butter

Preheat oven to 350F. Cook spinach, drain and chop. Mix hot, cooked rice with cheese, onion, and butter so that it blends, then fold in spinach. Turn into casserole. Bake for 25 minutes. Serves 4.

This way of spinach is a popular •companyê dinner at our house. Combined with cooked rice, plus cheese for extra flavor, it is good with meat or fish. It was a prize-winning recipe and I can see why; it has so many good things about it, like preparing it ahead.
",,Cooking Downeast,Yes,No,Yes

Moroccan Braised Lamb Shanks with Mint Yogurt,Supper,Wisconsin,spring,No,,,,"http://www.dartagnan.com/Moroccan-Braised-Lamb-Shanks-with-Mint-Yogurt/Recipe_Moroccan_Lamb_Shanks,default,pg.html",,,

Roast Duck with Rhubarb Ginger Sauce,Supper,Wisconsin,spring,No,,"Adapted from: –Basic Roast Duckling and Sauce,” Time-Life: Poultry, 1978, p. 153 (originally, Splendid Fare _ The Albert Stockli Cookbook, Albert Stockli)

4 to 5 lb duckling with the gizzard, heart, and liver reserved and chopped
1 tsp salt
_ tsp pepper
_ tsp dried rosemary
Basic duck sauce:
1 rib celery, coarsely chopped
1 carrot, coarsely chopped
1 onion, coarsely chopped
1 tomato, coarsely chopped
1 cup beef stock
Rhubarb and ginger sauce
The above basic duck sauce
3 tbsp sugar
1 tbsp butter
1/3 cup cider vinegar
1 cup + chopped rhubarb
3 tbsp brandy
1 tsp finely chopped fresh ginger root

Preheat oven to 450F.

Trim the duck of excess fat at the base of the tail and inside. Rub it inside and out with salt, pepper, and rosemary. Prick the skin on the thighs and breast to allow the fat to drain. Place the duck and giblets in a pan and roast for 1 _ hours. Remove the duck from the pan and keep it warm.

Pour off all but about 2 tbsp of fat from the roasting pan. Add the chopped vegetables and saute for 10 minutes, stirring constantly. Add the beef stock. Stir, scraping up the brown bits in the pan, then strain the contents into a saucepan.

This basic duck sauce may be served as is, or turned into rhubarb and ginger sauce as follows: melt the sugar and butter in a sauce pan and cook, stirring, until the mixture is brown. Add the vinegar and continue to cook over high heat until the mixture is reduced by half. Stir in the rhubarb pieces, the basic duck sauce, the brandy, and ginger. Lower the heat and simmer until the rhubarb is stewed and the sauce thickens. Taste the sauce and add salt if necessary. 

Cut the duck into quarters using poultry shears, pour the sauce over it and serve.",,Time-Life,No,No,Yes

Ham Cream Mushroom Spinach Linguine,Supper,Wisconsin,spring,No,,"1/4 cup olive oil
1 1/2 pounds crimini mushrooms, sliced
6 large garlic cloves, thinly sliced
1/8 teaspoon ground nutmeg
1 1/4 cups whipping cream
16 ounces linguine
3 1/2 cups grated Parmesan cheese, divided
3/4 cup chopped fresh parsley, divided

Heat oil in large skillet over medium-high heat. Add mushrooms, garlic, and nutmeg; saut_ until mushrooms are brown and tender, about 10 minutes. Sprinkle with salt and pepper. Stir in cream. Remove mushroom mixture from heat.

Cook pasta in large pot of boiling salted water until tender but still firm to bite. Drain, reserving 1/2 cup cooking liquid. Return pasta to pot. Add mushroom mixture, 2 1/2 cups cheese, 1/2 cup parsley, and reserved cooking liquid. Toss over medium-high heat until sauce coats pasta. Season with salt and pepper. Mix in remaining 1/4 cup parsley. Transfer pasta to bowl. Serve with remaining cheese.",,http://www.epicurious.com/recipes/food/views/linguine-with-mushrooms-and-parmesan-cream-sauce-109362.,yes,no,no

buckwheat crust asparagus quiche,Supper,Wisconsin,spring,No,,,,four seasons,,,

corn chowder/cold corn vichysoisse,Supper,Wisconsin,summer,No,,,,#N/A,,,

spinakopita,Supper,Wisconsin,summer,No,,,,0,,,

Calabacitas con Crema,Supper,Wisconsin,summer,No,,"From: The Cuisines of Mexico Revised Edition, Diane Kennedy, 1972 (1986), p. 259.

1 _ lbs zucchini
2 medium tomatoes (3/4 lb)
6 peppercorns
4 sprigs fresh coriander
2 sprigs mints, fresh if possible
_-inch stick cinnamon
4 whole cloves
2 whole chiles serranos
_ cup thin cream
_ tsp salt

There are hundreds of ways of cooking squash in Mexico, and every cook has her own method and seasoning. This was our miad Godilevaês way of preparing them, and the dish frequently prepared on our dinner table. It has an exotic flavor, and is quite unlike any other squash dish I have come across. 

Clean, trim, and dice the squash; skin, seed, and chop the tomatoes. Put them into the pan together with the other ingredients.

Cover the pan with a tightly fitting lid and cook the mixture over a low flame, scraping the bottom of the pan and stirring the mixture well from time to time so that it does not stick. If the veetables are dryin up too much, add a little water. It will take about 30 minute sto cook.

When cooked the zucchini should be very soft, the cream completely absorbed, and no liquid remaining in the pan. The chilies should remain whole and just flavor the squash _ it should not be picante.

This is a very good vegetable dish with meat or fish. It can be prepared ahead of time and it is perhaps even better heated up the next day.",,Kennedy,Yes,No,Yes

lamb chops a la shoshouska,Supper,Wisconsin,summer,No,,,,N. African; TL Veg,,,

Country Spinach,Supper,Wisconsin,summer,No,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 260.

~2 lbs fresh spinach
4 large potatoes

Cut out the tough green stalks of the spinach. Boil spinach with potatoes until done. Drain and mash potatoes and spinach together. 

Submitted by Elizabeth D. Fischer, Stockbridge, who served this with fresh pork cut in large chunks and decorated with hard-boiled eggs.",,Flavors of WI,Yes,Yes,Yes

Spinach salad w/ hot bacon vinagairette,Supper,Wisconsin,summer,No,,,,Edible,,,

Wild grape and lamb dolmades,Supper,Wisconsin,summer,No,,,,0,,,

pea tempeh orange glaze,Supper,Wisconsin,summer,No,,,,coop,,,

grilled chicken with lemon oregano marinade,Supper,Wisconsin,summer,No,,,,0,,,

Fennel and Bok Choi Ginger Tamarind Saute,Supper,Wisconsin,summer,No,,"2 tablespoons olive oil
2 tablespoons grated fresh ginger
1/2 fennel bulb, halved, cored and thinly sliced
8 cups sliced Asian greens (such as bok choy, tatsoi, napa cabbage, or Chinese broccoli)
3 tablespoons apricot all-fruit jam
1 tablespoon tamari or other soy sauce

In a large skillet or Dutch oven over medium heat, saute ginger in oil 1 minute. Add fennel and saute 5 minutes or until fennel is soft and translucent. Stir in apricot jam and tamari, add greens and gently fold until greens are bright green. Remove from heat and serve.",,http://www.farmerdaves.net/sauteed-fennel-and-asian-greens-with-ginger-and-apricot,yes,yes,no

Black Bean Burgers,Supper,Wisconsin,summer,No,,"2 (15 ounce) cans black beans, rinsed and drained
4 tablespoons vegetable oil, divided
1 medium onion, finely chopped (about 1 cup)
1 large poblano pepper, finely chopped (about 1 cup)
3 medium cloves garlic, minced
1 chipotle chili in adobo sauce, finely chopped, plus 1 teaspoon sauce
3/4 cup roasted cashews
1/2 cup finely crumbled feta or cotija cheese
2 tablespoons mayonnaise
1 whole egg
3/4 cup panko bread crumbs
Kosher salt and freshly ground black pepper
Cheese as desired, such as pepper jack, cheddar, muenster, or Swiss (optional)
6 to 8 hearty hamburger buns, toasted
Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)
Toppings as desired, such as shredded lettuce, sliced onions, and pickles (optional)

1.
Adjust oven rack to center position and preheat oven to 350¡F. Spread black beans in a single layer on a foil-lined rimmed baking sheet. Place in oven and roast until beans are mostly split open and outer skins are beginning to get crunchy, about 20 minutes. Remove from oven and allow to cool slightly.

2.
While beans roast, heat 2 tablespoons oil in a medium skillet over medium-high heat until shimmering. Add onion and poblano and cook, stirring frequently, until softened, about 5 minutes. Add garlic and cook, stirring constantly, until fragrant, about 2 minutes. Add chipotle chili and sauce and cook, stirring, until fragrant, about 30 seconds. Transfer mixture to a large bowl.

3.
Place cashews in the bowl of a food processor and pulse until chopped into pieces no larger than 1/3-inch, about 12 short pulses. Add to bowl with onions and peppers.

4.
When beans are slightly cooled, transfer to food processor. Add cheese. Pulse until beans are roughly chopped (the largest pieces should be about 1/3 of a full bean in size). Transfer to bowl with onion/pepper mixture. Add mayonnaise, egg, and bread crumbs and season with salt and pepper. Fold together gently but thoroughly with hands. Patty mixture can be stored in an airtight container in the refrigerator for up to three days at this stage.

5.
To cook on the grill: Light 2/3 chimney full of charcoal. When all the charcoal is lit and covered with gray ash, pour out and arrange the coals on one side of the charcoal grate. Set cooking grate in place, cover grill and allow to preheat for 5 minutes. Alternatively, set half the burners on a gas grill to the medium-high setting, cover, and preheat for 10 minutes. Clean and oil the grilling grate. Form bean mixture into 6 to 8 patties as wide as your burger buns and brush top sides with oil. Place on hot side of grill oiled-side down and cook without moving until first side is well browned, 3 to 5 minutes. Brush tops of burgers with oil. Carefully flip and continue cooking until second side is browned, 3 to 5 minutes longer, topping with cheese if desired.

6.
To cook indoors: Form bean mixture into 6 to 8 patties as wide as your burger buns. Heat 1 tablespoon oil in a large non-stick or cast iron skillet over medium heat until shimmering. Add 4 patties and cook, swirling pan occasionally, until well browned and crisp on first side, about 5 minutes. Carefully flip and cook until second side is browned, about 5 minutes longer, adding cheese if desired. If cooking more than 4 burgers, cook in batches, keeping cooked burgers on a rack set in a rimmed baking sheet in a 200¡F oven while second batch cooks.

7.
Spread top and bottom buns with chipotle mayonnaise or other condiments as desired. Add toppings to top or bottom bun as desired. Place patties on bottom buns, close burgers, and serve immediately.",,http://www.seriouseats.com/recipes/2014/03/the-best-black-bean-burger-recipe.html,yes,yes,no

Feijao de Coco,Supper,Wisconsin,summer,No,,"1 pound dried black-eyed peas
1 large onion, sliced
1 large smoked ham hock
2 to 4 strips bacon, diced, cooked
1/8 to 1/4 teaspoon cayenne pepper, or to taste
1/2 teaspoon garlic powder, or use 1 fresh clove garlic, minced
 1 to 2 teaspoons of kosher salt, or to taste
freshly ground black pepper, to taste

In a large saucepan, cover the peas with water to about 3 inches over the peas. Bring to a boil, reduce heat, then simmer for 45 minutes to 1 hour, or until peas are tender.

Meanwhile, place the ham hock, sliced onion, bacon, pepper, garlic and salt in the slow cooker. Add 3 cups water. Cover and cook on HIGH for 1 hour.

When peas are tender, drain and transfer to the slow cooker. Reduce heat to LOW; cover and cook for  to 7 hours.

Remove the ham hock from the pot. Remove the meat from the hock and shred or chop. Add the meat back to the peas.

Taste and add kosher salt and freshly ground black pepper, as needed.

Serve the peas with hot cornbread.",,http://southamericanfood.about.com/od/maincourses/r/Feijao-De-Coco-Black-Eyed-Peas-With-Coconut-Milk.htm,no,no,yes

basil/cilantro pesto,Supper,Wisconsin,summer,No,,,,#N/A,,,

"Udon Noodle ""Bap""",Supper,Wisconsin,summer,No,,"1/2 cup soy sauce
1/2 cup white sugar
1/2 cup brown sugar
1/4 cup minced garlic
1/3 cup chopped green onion
4 tablespoons toasted sesame seeds
20 ounces rib-eye steak, sliced thin
salt and pepper to taste
3 cups uncooked glutinous (sticky) white rice, rinsed
6 1/2 cups water
4 dried shiitake mushrooms
1 pound fresh spinach, washed and chopped
12 ounces cucumber, julienned
12 ounces carrots, julienned
sesame oil
8 ounces fresh bean sprouts
6 eggs
6 sheets nori, crumbled
6 tablespoons sesame oil
1/4 cup chili bean paste (Kochujang)

Make the marinade for the beef. Combine the soy sauce, sugars, garlic, green onions, sesame seeds in a large bowl; add the sliced beef strips to the marinade, and season with salt and pepper. Cover, and refrigerate for at least 2 hours.

Bring the rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low and cover; simmer until the rice is tender and the liquid has been absorbed, 20 to 25 minutes.

Preheat an oven to 425 degrees F (220 degrees C), and place 6 Korean stone bowls in oven [lol]. Combine shiitake mushrooms and 1/2 cup hot water in a small bowl, and soak for about 10 minutes, until pliable. Trim off and discard the stems. Thinly slice the caps. Set aside.

Bring a saucepan of water to a boil. Add spinach to the water just long enough to wilt the leaves, and then drain and pat dry. Set aside. Combine cucumber and carrots in a bowl, and season with salt and pepper. Set aside.

Preheat wok over medium-high heat. Cook carrots and cucumbers in a small amount of sesame oil to soften, stirring frequently. Remove from pan, and set aside. Add a small amount of sesame oil to the pan, and cook spinach in sesame oil for a minute or two. Remove spinach from pan,and set aside. Add the meat strips and marinade to the wok; cook, stirring frequently, until the liquid reduces in volume, about 4 to 5 minutes.

Transfer the stone bowls from the oven to suitable heat resistant surface. Brush each bowl with sesame oil to coat. Divide the rice into the bowls, and gently pack to the bottom (the rice should sizzle as you arrange). Arrange the cucumbers and carrots, bean sprouts, greens, shiitake mushrooms, and beef mixture over each potion of rice. Immediately before serving , add one raw egg yolk to each bowl, drizzle with about a tablespoon of sesame oil, and top with the nori. Serve Kochujang sauce as a condiment.",,http://allrecipes.com/recipe/dol-sot-bi-bim-bap/ ,no,no,yes

Drunken Trout,Supper,Wisconsin,summer,No,,"2 Trout Fillets Skin removed
1/4 cup Soy Sauce
1/4 cup Bourbon
1 cup water
1/4 cup brown sugar
1 teaspoon worchestershire sauce
1 tablespoon lemon juice

Cut Trout filets into serving size pieces. Mix all other ingredients in a medium non metal bowl. Marinate trout fillets in mixture for 1-2 hours in refrigerator. Broil or grill fillets 5 minutes per side till it flakes easily.",,http://www.lakemichiganangler.com/recipes/trout/drunken_trout.htm,no,no,no

Apple pudding,Dessert,Wisconsin,fall,No,,,,Flavors of WI,,,

cinnamon quick bread,Dessert,Wisconsin,fall,No,,,,V's mom email,,,

Bourbon apple cake,Dessert,Wisconsin,fall,No,,,,Real simple,,,

Apple caramel cake,Dessert,Wisconsin,fall,No,,,,0,,,

Melt in your mouth blueberry cake,Dessert,Wisconsin,fall,No,,,,DownEast,,,

lemon ginger macaroons,Dessert,Wisconsin,fall,No,,,,0,,,

carrot cake,Dessert,Wisconsin,fall,No,,,,Heartland,,,

chai cranberry cupcakes,Dessert,Wisconsin,fall,No,,,,BHG,,,

Double Apple Pie,Dessert,Wisconsin,fall,No,,"FOR THE CRUST
2 _ cups/300 grams all-purpose flour
_ teaspoon/2.5 grams kosher salt
2 _ sticks/20 tablespoons/285 grams unsalted butter, chilled and cubed
4 tablespoons/60 milliliters vodka (optional)
_ to _ cup ice water

FOR THE FILLING
3 pounds/1 1/3 kilograms apples, peeled, cored and thinly sliced crosswise (1/8-inch)
_ cup/99 grams granulated sugar, more as needed
2 tablespoons/30 grams dark brown sugar
2 tablespoons/30 grams quick-cooking tapioca
1 _ teaspoons/3 grams ground cinnamon
1 teaspoon/3 grams ground ginger
_ teaspoon grated nutmeg
 Pinch ground cloves
1 _ tablespoons/22 milliliters lemon juice
3 tablespoons/45 grams apple butter
 Heavy cream or milk, as needed
 Whipped cream, sour cream or crème fra”che, for serving

Make the crust: In a food processor, pulse together flour and 1/2 teaspoon salt. Add butter and pulse until mixture forms 3/4-inch pieces. Mix vodka with 4 tablespoons ice water (or use 1/2 cup ice water). Add half the ice water mixture to dough, pulse a few times, then continue adding liquid a tablespoon at a time until dough just comes together (you might not use all the liquid). Dough should be moist, but not wet, and hold together when pinched. If there are visible pieces of butter in the dough, all the better.

On a lightly floured surface, gather dough into a ball. Remove a third of the dough and form into a disk. Form remaining dough into a disk. Cover both tightly with plastic wrap and refrigerate for at least 1 hour and up to 5 days.

On a lightly floured surface, roll out larger disk to a 12-inch circle. Transfer dough to a 9-inch pie plate. Fold over any excess dough, then crimp edges. Prick crust all over with a fork, then chill crust for 30 minutes or up to 24 hours.

While dough chills, heat oven to 400 degrees. Line chilled crust with foil or parchment paper and fill with pie weights or dried beans. Bake for 15 minutes; remove foil and weights and bake until pale golden, 5 minutes more. Cool on rack until needed. (You can bake the crust up to 24 hours in advance.)

Toss apples with sugars, tapioca, spices, 1/2 teaspoon salt and the lemon juice. Fold in apple butter. Transfer apples to crust and press gently to make sure fruit is tightly packed.

Roll out remaining dough disk to a 10-inch round. Use a knife to cut strips 1 3/4 inches wide. Arrange strips over the filling in a lattice pattern. Brush top of crust with heavy cream or milk. Sprinkle with granulated sugar.

Place pie on a rimmed baking sheet lined with foil. Bake 15 minutes; reduce heat to 350 degrees and continue baking until crust is golden brown and juices are bubbling thickly, about 1 hour 15 minutes more. Let pie cool on a wire rack for at least 2 hours before cutting. Serve with whipped cream, sour cream or crème fra”che.",,http://cooking.nytimes.com/recipes/1016924-double-apple-pie,Yes ,no,no

Danish Kringle,Dessert,Wisconsin,fall,No,,"For the Kringle:
1/2 cup sour cream
3/4 teaspoon vanilla
1 cup (4.5 ounces) all-purpose flour
8 tablespoons unsalted butter, chilled and cut into 1 tablespoon chunks
1 egg
1 tablespoon sugar

For the Kringle Filling:
4 tablespoons unsalted butter
2 medium apples, diced
2 tablespoons sugar
1/2 teaspoon ground cinnamon
1 teaspoon vanilla extract
1 teaspoon cornstarch

For the Kringle Icing:
1/2 cup powdered sugar
1/2 tablespoon milk
1/2 teaspoon vanilla

1.
In a small bowl mix together sour cream and vanilla. Set aside.

2.
Using a pastry blender or several pulses with a food processor cut together flour and butter so butter is reduced to small pea-sized bits. Stir in sour cream mixture. Blend well to form a dough. Shape into a disk. Flatten disk slightly, cover and chill at least 2 hours or overnight.

3.
While the pastry is chilling, prepare the kringle filling. In a small saucepan, brown the butter for the icing in a saucepan over medium heat, swirling the pan every so often. Once the butter has browned, add the apples, sugar, cinnamon and vanilla. Cook until apples have softened then quickly whisk in corn starch. Cook until mixture has thickened, about 5 minutes more. Remove from heat and transfer filling into a bowl. Cover and refrigerate until completely chilled, about 2 hours.

4.
Move oven rack to the center position. Preheat oven to 450¡F. In a small bowl whisk together egg and sugar for the egg wash. Set aside. On a floured work surface, roll out the dough disk into a 12 by 6 inch rectangle. Spread filling down center in a thin strip leaving two inches clear on each side and an inch and a half at both ends. Fold sides over center then fold ends up, press lightly to seal. Brush with egg wash.

5.
Bake on a parchment lined cookie sheet for 10 to 15 minutes or until golden brown. Just before kringle finishes baking whisk together confectioners sugar, milk and vanilla in a small bowl for the icing. Drizzle icing over warm kringle. Cool on wire rack. Store in a covered container. Best within a day.",,http://www.seriouseats.com/recipes/2013/12/apple-cinnamon-kringle.html,yes,no,no

Buttermilk Bourbon Pie,Dessert,Wisconsin,winter,No,,"From: Heartland: The Best of the Old and the New from Midwest Kitchens, Marcia Adams, 1991, p. 119.

9-inch pastry shell
3 eggs
_ cup sugar
3 tbsp all-purpose flour
1 _ cups buttermilk
1 tsp vanilla
3 tbsp bourbon
3 tbsp butter, melted (no substitutes)
Grated nutmeg

Heavy yellow buttermilk, flecked with bits of golden butter left over from churning, often found its way into cakes, muffins, bread, and pies. Buttermilk pie with a splash of bourbon stands on its own, though, as a very unique cream pie. No one is quite sure what it is, but everyone eats it with unmitigated pleasure.

Bake the well-pricked pie shell ina  400F oven for just 10 minutes. Reduce the oven temperature to 350F. In a mixer bowl, beat the eggs and sugar until light and fluffy. Add the flour and beat again. With the beater running slowly, pour in the buttermilk. Add the vanilla, bourbon, and melted butter; blend. Pour the filling into the partially baked pie shell and dust the surface with nutmeg. Bake until the filling just sets, about 20 minutes, then turn off the oven and leave the pie in for 10 minutes longer. Remove the pie to a rack; it will continue to set as it cools. (Custard pies should not bake too long or the custard will curdle.)",,Heartland,Yes,No,No

Chocolate Chess Pie,Dessert,Wisconsin,winter,No,,"1/2 (14.1-oz.) package refrigerated piecrusts
1/2 cup butter
2 (1-oz.) unsweetened chocolate baking squares
1 (5-oz.) can evaporated milk (2/3 cup)
2 large eggs
2 teaspoons vanilla extract, divided
1 1/2 cups granulated sugar
3 tablespoons unsweetened cocoa
2 tablespoons all-purpose flour
1/8 teaspoon salt
1 1/2 cups pecan halves and pieces
2/3 cup firmly packed light brown sugar
1 tablespoon light corn syrup

Preheat oven to 350¡. Roll piecrust into a 13-inch circle on a lightly floured surface. Fit into a 9-inch pie plate; fold edges under, and crimp.

Microwave butter and chocolate squares in a large microwave-safe bowl at MEDIUM (50% power) 1 1/2 minutes or until melted and smooth, stirring at 30-second intervals. Whisk in evaporated milk, eggs, and 1 tsp. vanilla.

Stir together granulated sugar and next 3 ingredients. Add sugar mixture to chocolate mixture, whisking until smooth. Pour mixture into prepared crust.

Bake pie at 350¡ for 40 minutes. Stir together pecans, next 2 ingredients, and remaining 1 tsp. vanilla; sprinkle over pie. Bake 10 more minutes or until set. Remove from oven to a wire rack, and cool completely (about 1 hour).",,http://www.myrecipes.com/recipe/chocolate-pecan-chess-pie,yes,no,no

indian No-Egg Strawberry Cake,Dessert,Wisconsin,winter,No,,Sprite! Among other things. See link.,,http://www.peekncook.com/Show-A-Recipe/42145/eggless-strawberry-cake,yes,no,no

apple chocolate chip cookies,Dessert,Wisconsin,winter,No,,,,http://www.canadianliving.com/food/baking_and_desserts/apple_chocolate_chip_cookies.php,,,

apple crisp,Dessert,Wisconsin,winter,Yes,,,,#N/A,,,

Banana Bourbon Cake,Dessert,Wisconsin,spring,No,,"FOR THE CAKE
2 1/4 cups all-purpose flour, plus more for pans
3/4 teaspoon baking soda
1/2 teaspoon baking powder
1/2 teaspoon salt
8 tablespoons (1 stick) unsalted butter, room temperature, plus more for pans
1 1/2 cups granulated sugar
3 large eggs, separated
2 to 3 ripe bananas, enough to make 1 cup mashed
1/2 cup buttermilk
1 teaspoon pure vanilla extract

FOR THE FILLING AND TOPPING
1 cup heavy cream
2 tablespoons confectioners' sugar
3/4 cup sour cream
3 bananas, not too ripe
2 tablespoons unsalted butter
2 tablespoons dark-brown sugar
3/4 cup bourbon

Heat oven to 350 degrees. Grease and flour two 8-inch round cake pans. In a bowl, sift together flour, baking soda, baking powder, and salt. Set aside.

Cream together butter and sugar. Add egg yolks one at a time. In another bowl, mash bananas, and combine with buttermilk and vanilla. Add alternately to butter mixture with flour mixture, beginning and ending with flour.

Beat egg whites until stiff; fold into batter.

Divide batter between prepared pans. Bake until a toothpick inserted into the center comes out clean, 30 to 35 minutes. Let cool in pans for 5 minutes, then turn out onto a rack to cool completely.

When cake layers are cool, whip cream with confectioners' sugar until stiff. Fold in sour cream. Place a cake layer on a plate, and spread with filling to within 1 inch of edge. Place other layer on top, and press down lightly. Chill for 1 hour.

Slice bananas 1/2 inch thick. Melt butter in a large saute pan over medium heat. When it sizzles, add slices in a single layer. Sprinkle with sugar. When golden brown, turn slices; cook until brown on other side.

Carefully pour in bourbon (using a measuring cup, never the bottle) and ignite with a match. Cook until flames die down, shaking the pan to toss bananas in syrup. Remove from heat.

Arrange banana slices on top of cake. Pour remaining syrup over cake, letting it drip down sides. Serve immediately.",,http://www.marthastewart.com/316229/banana-bourbon-layer-cake,yes,no,no

Coconut Chocolate Pie,Dessert,Wisconsin,spring,No,,"1 1⁄2 cups sugar
5 tablespoons cocoa powder
2 tablespoons all-purpose flour
1⁄4 teaspoon salt
1⁄2 cup evaporated milk
3 large eggs, room temperature
1⁄3 cup unsalted butter, softened
1 teaspoon vanilla
1 partially 9-inch baked pie crust
[coconut]

Preheat oven to 325F degrees.
Combine sugar, cocoa, flour, and salt.
Blend in milk.
Beat in eggs 1 at a time.
Add butter and vanilla, beat until smooth.
Pour into prebaked pie shell.
Bake in 325* oven for 55-60 minutes.",,http://www.food.com/recipe/chocolate-chess-pie-22421,yes,no,no

Bread Pudding with Whiskey Sauce,Dessert,Wisconsin,spring,No,,"1/2 cup raisins
1/2 cup Irish whiskey
5 eggs
2 cups heavy cream
1 cup sugar
1/2 tsp vanilla
1/4 tsp nutmeg
8 to 9 slices firm white bread
4 Tbs butter softened
Sauce:
1 stick butter
1 cup sugar
6 Tbs heavy cream
1/4 cup Irish whiskey

Pudding:
Soak raisins in whiskey for 1 hour.
Butter a 9 inch non metal baking dish. In bowl blend: eggs, cream, sugar, vanilla and spices.
Butter one side of bread with softened butter.
Cut slices diagonally. Arrange 1/2 bread in dish overlapping pieces.
Drains raisins and sprinkle 1/2 over bread.
Repeat with remaining bread and raisins.
Pour over custard and soak for 30 minutes.
